result_name,mean_source_accuracy,mean_source_macro_f1,worst_source_accuracy,worst_source_macro_f1,sketch_accuracy,sketch_macro_f1,source_domain_separability,sharpness_increase,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1,sketch_accuracy_change_from_erm
erm,0.9418687301666884,0.9418177120625378,0.9195121951219513,0.9161829088719846,0.61567828964113,0.6246469855079564,0.8538205980066446,0.3753228187561035,0.9700598802395209,0.9686514788424694,0.9195121951219513,0.9161829088719846,0.9360341151385928,0.9406187484731596,0.0
dan_dg,0.21656837139595686,0.05066996495567924,0.17270788912579957,0.04207792207792208,0.04072283023670145,0.011179820424134438,0.4485049833887043,0.006056427955627441,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,-0.5749554594044286
sam,0.9531433674333168,0.9528134779410479,0.9341463414634147,0.9346841582063258,0.7085772461186053,0.710438908840074,0.8538205980066446,0.1213553249835968,0.9700598802395209,0.9632207247225806,0.9341463414634147,0.9346841582063258,0.9552238805970149,0.9605355508942371,0.09289895647747526
sam_rho_0p01,0.945656193982621,0.9469415254373836,0.9146341463414634,0.9135868826367062,0.6668363451259862,0.6848123432943308,0.8604651162790697,0.169869065284729,0.9820359281437125,0.9818156591100189,0.9146341463414634,0.9135868826367062,0.9402985074626866,0.9454220345654257,0.05115805548485619
sam_rho_0p1,0.9363282172458868,0.9344655895244337,0.8926829268292683,0.8870083223120989,0.7039959277169763,0.719273610681686,0.770764119601329,0.09872749447822571,0.9610778443113772,0.9552312110973983,0.8926829268292683,0.8870083223120989,0.9552238805970149,0.9611572351638042,0.08831763807584625
