epoch,learning_rate,total_loss,classifier_placeholder_loss,classification_loss,dummy_second_loss,data_placeholder_loss,mixing_weight,number_of_mixup_pairs,training_accuracy,validation_accuracy,validation_macro_f1
1,0.001,0.6129205290578369,0.29259780834712873,0.07756760756238404,0.21503020020631644,3.203227139945723,0.5137896850238158,60.99145299145299,0.999465811965812,0.9488,0.9488821708441147
2,0.0009990133642141358,0.34477906230508093,0.12963029387754593,0.10623688108561045,0.023393412791935467,2.151487627939621,0.4803848049239895,60.98290598290598,0.9990651709401709,0.9514,0.9514847857178685
3,0.000996057350657239,0.33100237207025546,0.1216962400749538,0.10479428065128815,0.01690195940243892,2.0930612881978354,0.4942624996869992,61.08831908831909,0.9988871082621082,0.9498,0.9499025349458418
4,0.0009911436253643444,0.32219586909836173,0.11768683761443167,0.10345220973349026,0.014234627880941429,2.04509029293332,0.4961030530793714,61.096866096866094,0.9992877492877493,0.9444,0.94461216318188
5,0.0009842915805643156,0.31132856312810187,0.11467407524925352,0.10168484218439824,0.012989233064855266,1.9665448393916811,0.4980531567521924,60.98575498575499,0.9993767806267806,0.9488,0.9488922048730343
6,0.0009755282581475769,0.30405771651668767,0.11259795980066316,0.1005909419976748,0.012007017802988362,1.9145975384617124,0.49810769279458245,61.002849002849004,0.9995548433048433,0.95,0.9500726588633037
7,0.0009648882429441258,0.2778688235330446,0.11306504516774772,0.09986574858681768,0.013199296602156766,1.6480377621290692,0.5119208094061609,61.04843304843305,0.9989316239316239,0.9456,0.9456477204048033
8,0.0009524135262330099,0.17760173885146438,0.09539477762758222,0.07755726885761631,0.01783750873812583,0.8220695911394564,0.49863618595308046,61.002849002849004,0.9984864672364673,0.9424,0.9423069638543616
9,0.0009381533400219318,0.1391255324892169,0.07669872182429346,0.05786841459296368,0.018830307231329786,0.6242680982434512,0.49777465124755166,61.05128205128205,0.9982638888888888,0.943,0.942911442853883
10,0.0009221639627510075,0.10696017238552924,0.062434465711952276,0.044870817848080585,0.01756364786387169,0.44525705440834884,0.5019506905493234,60.94301994301994,0.9986200142450142,0.9432,0.9429399483339367
11,0.0009045084971874736,0.07901382604428166,0.04672070840994517,0.031826292400771054,0.014894416009174113,0.3229311726499147,0.5028842154391471,61.034188034188034,0.9988425925925926,0.9394,0.9391454032952602
12,0.0008852566213878945,0.07357736871155918,0.043821590896855056,0.029684915692887753,0.01413667517212721,0.2975577725113457,0.5013723346242878,60.98860398860399,0.9989316239316239,0.9456,0.9455311594370961
13,0.0008644843137107056,0.08478391662961737,0.04565127517635326,0.03219684767417419,0.013454427544632528,0.39132640881469194,0.4728037081552707,61.054131054131055,0.9988425925925926,0.9374,0.9370899896329707
14,0.0008422735529643443,0.07715891650280891,0.04610122576822922,0.03281124579346078,0.01328997997476844,0.3105769015164075,0.48927554921207267,61.05698005698006,0.9986645299145299,0.9456,0.945475052923352
15,0.0008187119948743448,0.07103424283418476,0.04156359600333067,0.028453959295382865,0.013109636729174529,0.294706464891038,0.5045665730098714,60.97435897435897,0.9987090455840456,0.9316,0.9313584753290604
16,0.0007938926261462366,0.07573399111692213,0.03931178150438515,0.027592195808208226,0.011719585590043298,0.3642220906409146,0.4978768547036369,61.042735042735046,0.9984864672364673,0.9378,0.9377655546332082
17,0.0007679133974894982,0.06738138182136492,0.037836514986478366,0.026499415129592956,0.01133709985688541,0.29544866148998,0.4853995994285301,60.95441595441596,0.9987980769230769,0.9406,0.9404366890838192
18,0.0007408768370508576,0.057364810879031815,0.03671283063683075,0.024629925916295106,0.012082904757682415,0.20651979910533483,0.47451647462328617,61.01139601139601,0.9987535612535613,0.9198,0.9198972022623938
19,0.0007128896457825362,0.06211182263618776,0.03123953467250889,0.021053204785215208,0.010186329887293682,0.30872287465116155,0.49724089793669873,61.0997150997151,0.9989316239316239,0.9354,0.9351224099367046
20,0.0006840622763423389,0.07737501340246948,0.036150061878298764,0.02668087102706276,0.009469190840622638,0.4122495078388867,0.5054115012839988,60.96866096866097,0.9987980769230769,0.9086,0.9084691007091932
21,0.0006545084971874735,0.06110402997158616,0.03398535783240768,0.02403521924107163,0.00995013855418928,0.2711867185872038,0.509613210998709,61.08831908831909,0.9988871082621082,0.9138,0.9140049964433461
22,0.0006243449435824271,0.04391085778355089,0.027918830890728538,0.018541948296702825,0.009376882594025712,0.15992026372767582,0.5052416331408031,60.934472934472936,0.9992877492877493,0.9198,0.9194919454756525
23,0.0005936906572928622,0.03249793540569622,0.02415471155185815,0.01532215328934865,0.00883255827312286,0.08343223763757154,0.48976200462406516,60.86894586894587,0.9993322649572649,0.9258,0.9256573219724598
24,0.000562666616782152,0.05050820024137483,0.027857124104968503,0.018815029072880404,0.009042095021474735,0.22651075589022152,0.48696795080462074,61.105413105413106,0.9991096866096866,0.9164,0.9160861314489175
25,0.0005313952597646566,0.048037796360878356,0.025135506305344765,0.01664045706200294,0.00849504923272846,0.22902290087506344,0.48925220456897706,60.957264957264954,0.9991542022792023,0.9294,0.9291057429153025
26,0.0004999999999999998,0.055925219701841854,0.025597617019530373,0.017976567122628885,0.007621049854448039,0.3032760243687747,0.49884354898392985,61.1025641025641,0.9993767806267806,0.9188,0.9185311638852978
27,0.00046860474023534314,0.050708043800290155,0.02793447353858554,0.01968691907716952,0.008247554482642742,0.2277356997222515,0.5157268991497507,60.914529914529915,0.9990206552706553,0.8882,0.8885363872425653
28,0.00043733338321784774,0.03899001866112068,0.021815315960903792,0.014195933099570778,0.007619382882559741,0.17174702541547113,0.5016416457303908,60.85470085470085,0.9994212962962963,0.8896,0.8903483869908522
29,0.00040630934270713756,0.029941346498996952,0.02052979899352772,0.01295664282966713,0.007573156132020502,0.09411547292007977,0.4977352653133903,61.054131054131055,0.9993767806267806,0.938,0.9377758025627866
30,0.00037565505641757246,0.03335734173135455,0.02183931776218944,0.014576217934404343,0.007263099854318504,0.11518023606718775,0.4981049105652377,60.94301994301994,0.9995103276353277,0.9306,0.9303984748484078
31,0.00034549150281252633,0.04427030449865805,0.022110215762359463,0.014943402600169521,0.007166813162189943,0.22160088050542692,0.4979947081997863,60.96296296296296,0.9996883903133903,0.9318,0.9315725218787264
32,0.00031593772365766105,0.043893944525141323,0.028148693274016732,0.02129086056602137,0.006857832368367758,0.15745251159849669,0.4991867195846688,60.98290598290598,0.9996883903133903,0.939,0.9391149660693667
33,0.00028711035421746355,0.30619886729791973,0.08101396602803995,0.07504392153135052,0.00597004454975624,2.251848962486979,0.4862231610507367,61.09116809116809,0.9986200142450142,0.9432,0.9432380240796123
34,0.0002591231629491422,0.09597230419527177,0.04398188117010641,0.03837505331597267,0.0056068278382136955,0.5199042194870505,0.5114099225427351,60.914529914529915,0.9993767806267806,0.9376,0.9373076167808758
35,0.00023208660251050145,0.046347740835953305,0.027818627310571848,0.020987153000216877,0.006831474289128244,0.18529113308868855,0.5093332491708956,60.98575498575499,0.9992432336182336,0.8666,0.8677488035278312
