epoch,total_loss,classification_loss,alignment_loss,domain_loss,domain_accuracy,grl_strength,gradient_norm_before_clipping,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1,mean_source_validation_accuracy,mean_source_validation_macro_f1
1,1.0453987258545896,0.4957278365784503,0.5496708887688657,0.5496708887688657,0.7640957628158813,0.08261060619425821,14.553186941146851,0.9640718562874252,0.9552423806058608,0.775609756097561,0.7660670033446574,0.8742004264392325,0.8734488669680692,0.8712940129414063,0.8649194169728625
2,0.965642685712652,0.28015464761472764,0.6854880402696893,0.6854880402696893,0.6317376067029669,0.24408743014437986,13.972155067768503,0.9401197604790419,0.9320652546230997,0.8609756097560975,0.8555419263990276,0.906183368869936,0.9155804124112895,0.9024262463683584,0.9010625311444723
3,1.1614690647480335,0.3183812381858204,0.8430878275252404,0.8430878275252404,0.5921099466212252,0.3931000373577079,29.633391500026622,0.9251497005988024,0.9124844353230005,0.8780487804878049,0.8706195587927981,0.9040511727078892,0.9030767548729806,0.9024165512648321,0.8953935829962597
4,1.1361610431620415,0.3273839398324391,0.808777102257343,0.808777102257343,0.6079787423001959,0.5240079056454343,38.609309503879956,0.9491017964071856,0.9409740278583157,0.8463414634146341,0.8359459280763195,0.8869936034115139,0.8939194012758322,0.894145621077778,0.8902797857368224
5,0.9497464996703128,0.23270434820974997,0.7170421524250761,0.7170421524250761,0.5882978918704581,0.63412434605169,19.13950528033236,0.9520958083832335,0.9458341978208702,0.8707317073170732,0.8705863783683283,0.9488272921108742,0.95540167159142,0.9238849359370603,0.9239407492602062
6,0.8614552934119042,0.16139385187917915,0.7000614404678345,0.7000614404678345,0.5845744858396814,0.7234129871535846,14.28054408519826,0.9491017964071856,0.9422471286205709,0.8902439024390244,0.8843341734849854,0.9147121535181236,0.923750893582213,0.9180192841214446,0.9167773985625898
7,0.8374165669400642,0.13566451395932708,0.7017520516476733,0.7017520516476733,0.5627659746941099,0.7936792189566058,15.839045981143384,0.9341317365269461,0.9239485917967335,0.8682926829268293,0.8621056580689823,0.9360341151385928,0.9424386396248497,0.9128195115307894,0.9094976298301884
8,1.2645093829073804,0.3678996073631111,0.8966097784803269,0.8966097784803269,0.5802305149271133,0.847682878098508,74.96156074392034,0.9520958083832335,0.942770729913587,0.8658536585365854,0.8676929738055296,0.8869936034115139,0.9017478202781394,0.9016476901104443,0.9040705079990854
9,0.8295623398841696,0.135269940624308,0.6942924020138193,0.6942924020138193,0.5580673933029174,0.8884369799983396,14.642479269555274,0.7904191616766467,0.8321268030448573,0.875609756097561,0.8740120734095763,0.9317697228144989,0.9365472198768335,0.8659328801962355,0.8808953654437558
10,1.2445476322732074,0.3461105463678015,0.8984370853038545,0.8984370853038545,0.5456560459542782,0.9187700403367796,93.95137808931635,0.9461077844311377,0.9383350871963066,0.8609756097560975,0.8562749728244158,0.9168443496801706,0.9209945477890445,0.9079759146224685,0.9052015359365889
