epoch,total_loss,classification_loss,alignment_loss,domain_loss,domain_accuracy,grl_strength,gradient_norm_before_clipping,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1,mean_source_validation_accuracy,mean_source_validation_macro_f1
1,0.539063084347451,0.5120052296113461,0.27057854165422157,0.0,0.0,0.0,11.584889996305424,0.9281437125748503,0.9166481219435122,0.8463414634146341,0.8416947656129311,0.9104477611940298,0.9168495997225279,0.8949776457278381,0.8917308290929903
2,0.23672933916145183,0.2181556987913048,0.18573640458127286,0.0,0.0,0.0,9.195696704692029,0.9491017964071856,0.9384652403171244,0.8731707317073171,0.8719260828306691,0.8912579957356077,0.899692908489329,0.9045101746167035,0.9033614105457075
3,0.1581701759407495,0.14187677685379427,0.16293399080317073,0.0,0.0,0.0,7.692864782759484,0.9610778443113772,0.9546394808118451,0.9121951219512195,0.9110172169229321,0.9339019189765458,0.9384911647757288,0.9357249617463808,0.9347159541701687
4,0.12752597402147156,0.11265530118649389,0.14870673037589865,0.0,0.0,0.0,6.734143667652252,0.9580838323353293,0.9532019124326548,0.9048780487804878,0.900532197714141,0.9381663113006397,0.9434354670433168,0.9337093974721523,0.9323898590633709
5,0.09144921862381569,0.07665683215142208,0.1479238601441079,0.0,0.0,0.0,5.733350998163223,0.9670658682634731,0.9614677799101049,0.8804878048780488,0.8795652413248035,0.9381663113006397,0.9450898670053611,0.9285733281473871,0.9287076294134232
6,0.08462742289647143,0.0709888687992637,0.13638553923748908,0.0,0.0,0.0,5.264623350475697,0.9790419161676647,0.9758056834831256,0.8853658536585366,0.8801258422783234,0.9317697228144989,0.9401808583955412,0.9320591642135668,0.9320374613856633
7,0.07349307164946135,0.059469577183753765,0.1402349421318541,0.0,0.0,0.0,5.020972190385169,0.9550898203592815,0.9468359049847983,0.8731707317073171,0.869985213301563,0.9466950959488273,0.9506760392940669,0.9249852160051418,0.9224990525268093
8,0.06842225889100674,0.0548007389650051,0.13621519677182461,0.0,0.0,0.0,4.777047868548555,0.9640718562874252,0.9589530236033145,0.8951219512195122,0.8970289131788077,0.9275053304904051,0.9354377138684498,0.9288997126657809,0.930473216883524
