epoch,total_loss,classification_loss,alignment_loss,domain_loss,domain_accuracy,grl_strength,gradient_norm_before_clipping,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1,mean_source_validation_accuracy,mean_source_validation_macro_f1
1,3.49827060217553,0.6191940379586626,2.8790765572101513,2.8790765572101513,0.5356383132015137,0.08261060619425821,64.92569562627914,0.9161676646706587,0.8998427226242127,0.7829268292682927,0.7869471752536222,0.7697228144989339,0.7730761469180926,0.8229391028126285,0.8199553482653091
2,3000.799858661408,795.1545748712534,2205.645263343162,2205.645263343162,0.4408688042392122,0.24408743014437986,201104.85435310527,0.38023952095808383,0.255228981544771,0.2780487804878049,0.17084415220286345,0.32409381663113007,0.23802824766869907,0.3274607060256729,0.22136712713877782
3,218.22025240050985,68.99683660490716,149.22341609178704,149.22341609178704,0.536790795402324,0.3931000373577079,32930.87951287615,0.8413173652694611,0.8132673253309566,0.5780487804878048,0.5793311735006463,0.5628997867803838,0.5915871568984908,0.6607553108458832,0.6613952185766979
4,645.9118615145379,215.66061189396584,430.2512469809106,430.2512469809106,0.5032801554558125,0.5240079056454343,94764.26849676903,0.9041916167664671,0.8785487712724251,0.7902439024390244,0.787034470624801,0.8081023454157783,0.8091708807748537,0.83417928820709,0.8249180408906932
5,2422.1711527248644,685.0943134926736,1737.0768324084738,1737.0768324084738,0.5318262573252333,0.63412434605169,442929.98856266105,0.39520958083832336,0.21391711753144407,0.22439024390243903,0.14218861014572748,0.21108742004264391,0.1695916182786538,0.27689574826113544,0.17523244865194176
6,7763.935696801734,2813.473378558869,4950.462362024632,4950.462362024632,0.5212766131822099,0.7234129871535846,2912718.5533432206,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924
7,280.6805851216012,98.05267517160863,182.62791020997028,182.62791020997028,0.4912234185223884,0.7936792189566058,127907.76280197488,0.11077844311377245,0.02849441663457836,0.09024390243902439,0.023649728347714925,0.057569296375266525,0.01555299539170507,0.08619721397602113,0.02256571345799945
8,257.063033473238,134.62983116799214,122.43320158085925,122.43320158085925,0.5000886683768414,0.847682878098508,292199.1119680851,0.10479041916167664,0.032615097320979676,0.09024390243902439,0.03574090883735554,0.09808102345415778,0.049583059030063645,0.09770511501828627,0.03931302172946629
9,25.63868951493121,24.232334276970395,1.4063551522315816,1.4063551522315816,0.5072695184261241,0.8884369799983396,60605.36427859042,0.17365269461077845,0.11154898121024778,0.18536585365853658,0.06874822003078118,0.1791044776119403,0.09085121640150687,0.17937434196041843,0.09038280588084528
