result_name,model,score,cifar10_test_accuracy,cifar10_test_macro_f1,known_vs_near_auroc,known_vs_far_auroc,known_vs_all_unknown_auroc,threshold,known_test_acceptance_rate,near_unknown_rejection_rate,far_unknown_rejection_rate,all_unknown_rejection_rate,near_fpr_at_95_tpr,far_fpr_at_95_tpr,all_unknown_fpr_at_95_tpr
vanilla_mls,vanilla,mls,0.9497,0.9496760591737333,0.8154990625,0.8828046875,0.8491518749999999,-5.869001364707946,0.9527,0.32375,0.5037499999999999,0.41374999999999995,0.67625,0.4962500000000001,0.58625
gcsc_mls,gcsc,mls,0.951,0.9509573549951502,0.8151710624999999,0.9071428125,0.8611569375,-6.1239283084869385,0.9531,0.32625000000000004,0.5375,0.431875,0.67375,0.4625,0.568125
rpl_mls,rpl,mls,0.946,0.9459896764495562,0.6363041875000001,0.6229923125,0.62964825,-7.221278715133667,0.9442,0.27125,0.37124999999999997,0.32125000000000004,0.72875,0.62875,0.67875
rpl_msp,rpl,msp,0.946,0.9459896764495562,0.7252264375,0.8296585000000001,0.7774424687499999,0.4879737906315791,0.9434,0.3125,0.47624999999999995,0.39437500000000003,0.6875,0.52375,0.605625
proser_mls,proser,mls,0.9444,0.944353758029543,0.837726875,0.8822328125000001,0.85997984375,-4.130692124366759,0.9536,0.33375,0.4425,0.38812500000000005,0.66625,0.5575,0.611875
proser_placeholder,proser,placeholder,0.9444,0.944353758029543,0.8172198125000001,0.8907388749999999,0.8539793437500001,2.2147977976030973e-12,0.9569,0.29000000000000004,0.44375,0.36687499999999995,0.71,0.55625,0.633125
