result_name,model,score,cifar10_test_accuracy,cifar10_test_macro_f1,known_vs_near_auroc,known_vs_far_auroc,known_vs_all_unknown_auroc,threshold,known_test_acceptance_rate,near_unknown_rejection_rate,far_unknown_rejection_rate,all_unknown_rejection_rate,near_fpr_at_95_tpr,far_fpr_at_95_tpr,all_unknown_fpr_at_95_tpr
vanilla_msp,vanilla,msp,0.9497,0.9496760591737333,0.8279240625,0.890129875,0.8590269687500001,0.15383133874535457,0.9491,0.2925,0.41874999999999996,0.35562499999999997,0.7075,0.58125,0.644375
vanilla_mls,vanilla,mls,0.9497,0.9496760591737333,0.8154990625,0.8828046875,0.8491518749999999,-5.869001364707946,0.9527,0.32375,0.5037499999999999,0.41374999999999995,0.67625,0.4962500000000001,0.58625
vanilla_energy,vanilla,energy,0.9497,0.9496760591737333,0.8156418125,0.883139125,0.8493904687500001,-6.0658750076964045,0.9533,0.32125000000000004,0.51125,0.41625,0.67875,0.48875,0.58375
vanilla_mahalanobis,vanilla,mahalanobis,0.9497,0.9496760591737333,0.7970544374999998,0.9171073749999998,0.8570809062500001,2906.797669901136,0.9513,0.27625,0.49624999999999997,0.38625,0.72375,0.50375,0.61375
