epoch,total_loss,classification_loss,mmd_loss,sam_perturbed_loss,gradient_norm,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1,mean_source_validation_accuracy,mean_source_validation_macro_f1,worst_source_validation_accuracy,worst_source_validation_macro_f1
1,1.9969997877770282,1.9425219419154716,0.0,1.9969997877770282,0.5534096496853422,0.26047904191616766,0.06370943031560092,0.21951219512195122,0.05142857142857143,0.17484008528784648,0.04699718175683722,0.21827710744198844,0.054045061167003194,0.17484008528784648,0.04699718175683722
2,1.9547680849724627,1.9302520077279273,0.0,1.9547680849724627,0.3491992954878097,0.4251497005988024,0.17532756954883574,0.3146341463414634,0.1502247752247752,0.2601279317697228,0.15384898236840655,0.3333039262366629,0.1598004423806725,0.2601279317697228,0.1502247752247752
3,1.9553402302112985,1.9129221718362037,0.0,1.9553402302112985,0.5386972395663566,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924,0.17270788912579957,0.04207792207792208
4,1.9203172582261105,1.8323888565631623,0.0,1.9203172582261105,1.0126646800244108,0.4251497005988024,0.17257417110033174,0.3024390243902439,0.13202064171593259,0.26865671641791045,0.14752501249565828,0.3320818138023189,0.15070660843730754,0.26865671641791045,0.13202064171593259
5,1.8200333727167008,1.7030055527991437,0.0,1.8200333727167008,1.215287458896637,0.45808383233532934,0.22919912182619948,0.348780487804878,0.19606011965562528,0.31982942430703626,0.19792348196518206,0.3755645814824145,0.20772757448233561,0.31982942430703626,0.19606011965562528
6,1.6440362514333522,1.4458200439493707,0.0,1.6440362514333522,1.8994822037980912,0.5329341317365269,0.3251616864060351,0.37317073170731707,0.24932604805450748,0.44562899786780386,0.34047170792226916,0.45057795377054927,0.3049864807942706,0.37317073170731707,0.24932604805450748
7,1.3606218964495558,1.0794121988276217,0.0,1.3606218964495558,2.606264579549749,0.7455089820359282,0.6757853395569493,0.6487804878048781,0.5935621693916121,0.7654584221748401,0.7581821464886574,0.7199159640052155,0.6758432184790729,0.6487804878048781,0.5935621693916121
8,1.0399262139137755,0.6850053869663401,0.0,1.0399262139137755,3.090759888608405,0.8413173652694611,0.8125619609537366,0.7390243902439024,0.7241194836390025,0.837953091684435,0.8436091463720862,0.8060982823992662,0.793430196988275,0.7390243902439024,0.7241194836390025
9,0.748481396538146,0.42172011878896265,0.0,0.748481396538146,2.82158969311004,0.9101796407185628,0.8941651645995659,0.8414634146341463,0.8382084759050238,0.9019189765458422,0.9126181206235113,0.8845206772995171,0.8816639203760337,0.8414634146341463,0.8382084759050238
10,0.5888001232705218,0.2843910148486178,0.0,0.5888001232705218,2.5396815239114963,0.9491017964071856,0.9424429744686164,0.8585365853658536,0.8559551234582434,0.9232409381663113,0.927029799997498,0.9102931066464501,0.908475965974786,0.8585365853658536,0.8559551234582434
11,0.45934795458266076,0.19251036113722528,0.0,0.45934795458266076,2.1467642061253813,0.9580838323353293,0.949987832196803,0.8658536585365854,0.8615446798671806,0.9275053304904051,0.9327669466587121,0.9171476071207731,0.9147664862408987,0.8658536585365854,0.8615446798671806
12,0.37798209491562335,0.14311031213703942,0.0,0.37798209491562335,1.830836935753518,0.9431137724550899,0.9338092951497545,0.8682926829268293,0.8640006092038667,0.9275053304904051,0.9327047790661026,0.9129705952907748,0.9101715611399079,0.8682926829268293,0.8640006092038667
13,0.324399940637832,0.10937268405835679,0.0,0.324399940637832,1.5910109019025844,0.9491017964071856,0.9405784831764699,0.8829268292682927,0.8782469285451956,0.9275053304904051,0.9333068602801419,0.9198446520552945,0.9173774240006024,0.8829268292682927,0.8782469285451956
14,0.28061603133348706,0.08406684147491258,0.0,0.28061603133348706,1.402971922622082,0.9520958083832335,0.9419507096044447,0.8731707317073171,0.8660228685404895,0.9360341151385928,0.9417798466782639,0.9204335517430478,0.916584474941066,0.8731707317073171,0.8660228685404895
15,0.23672297812522725,0.06085137255400657,0.0,0.23672297812522725,1.1760184728401772,0.9461077844311377,0.9374405193283942,0.8634146341463415,0.8631940466617257,0.9466950959488273,0.9528721094495951,0.9187391715087688,0.9178355584799051,0.8634146341463415,0.8631940466617257
16,0.2242350659788923,0.054681564360222916,0.0,0.2242350659788923,1.0813026153660834,0.9640718562874252,0.9570950478413458,0.875609756097561,0.8711851735259168,0.9360341151385928,0.9426999225377463,0.9252385758411931,0.9236600479683363,0.875609756097561,0.8711851735259168
17,0.19658016373819492,0.038541852678865826,0.0,0.19658016373819492,0.8649912301530229,0.9401197604790419,0.9275347697740697,0.8853658536585366,0.8761656812831718,0.9402985074626866,0.941287578975388,0.9219280405334217,0.9149960100108765,0.8853658536585366,0.8761656812831718
18,0.19204088584222692,0.035389183269952364,0.0,0.19204088584222692,0.8548851029352939,0.9520958083832335,0.9450575433960701,0.9,0.8961702875729092,0.9402985074626866,0.9447260173654142,0.9307981052819733,0.9286512827781311,0.9,0.8961702875729092
19,0.15046030872679772,0.02264771506071408,0.0,0.15046030872679772,0.5966147167251465,0.9610778443113772,0.9526733885773077,0.8682926829268293,0.8682612314277786,0.9402985074626866,0.9453748583506532,0.9232230115669644,0.9221031594519132,0.8682926829268293,0.8682612314277786
