class_index,class_name,baseline_source_only_accuracy,dan_lambda_0p1_accuracy,accuracy_change
1,elephant,0.654054054054054,0.9581081081081081,0.30405405405405406
2,giraffe,0.5245683930942895,0.6600265604249668,0.13545816733067728
0,dog,0.14378238341968913,0.27461139896373055,0.13082901554404142
5,house,0.8875,1.0,0.11250000000000004
3,guitar,0.8848684210526315,0.9539473684210527,0.06907894736842113
6,person,0.88125,0.84375,-0.03749999999999998
4,horse,0.8321078431372549,0.6360294117647058,-0.1960784313725491
