class_index,class_name,baseline_source_only_accuracy,dann_accuracy,accuracy_change
0,dog,0.14378238341968913,0.029792746113989636,-0.1139896373056995
6,person,0.88125,0.73125,-0.15000000000000002
3,guitar,0.8848684210526315,0.44243421052631576,-0.44243421052631576
2,giraffe,0.5245683930942895,0.021248339973439574,-0.5033200531208499
1,elephant,0.654054054054054,0.11621621621621622,-0.5378378378378378
4,horse,0.8321078431372549,0.0024509803921568627,-0.8296568627450981
5,house,0.8875,0.0125,-0.875
