result_name,mean_source_accuracy,mean_source_macro_f1,target_accuracy,target_macro_f1,domain_separability,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1,target_accuracy_change_from_source_only
source_only,0.9418687301666884,0.9418177120625378,0.61567828964113,0.6246469855079564,0.9972527472527473,0.9700598802395209,0.9686514788424694,0.9195121951219513,0.9161829088719846,0.9360341151385928,0.9406187484731596,0.0
dan,0.21992846176179545,0.08375931301443053,0.020361415118350726,0.005701457435056837,0.7074175824175825,0.39221556886227543,0.18389036774129944,0.14390243902439023,0.035942735303076456,0.12366737739872068,0.0314448359989157,-0.5953168745227793
dann,0.83417928820709,0.8249180408906932,0.1308220921354034,0.13162113743400997,0.9986263736263736,0.9041916167664671,0.8785487712724251,0.7902439024390244,0.787034470624801,0.8081023454157783,0.8091708807748537,-0.4848561975057266
cdan,0.9238849359370603,0.9239407492602062,0.6373122932043777,0.587374040234801,0.9752747252747253,0.9520958083832335,0.9458341978208702,0.8707317073170732,0.8705863783683283,0.9488272921108742,0.95540167159142,0.021634003563247628
dan_lambda_0p1,0.9357249617463808,0.9347159541701687,0.6953423262916772,0.651608780552988,0.9766483516483516,0.9610778443113772,0.9546394808118451,0.9121951219512195,0.9110172169229321,0.9339019189765458,0.9384911647757288,0.07966403665054722
dan_lambda_10,0.21656837139595686,0.05066996495567924,0.04072283023670145,0.011179820424134438,0.7197802197802198,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,-0.5749554594044286
